reservoir,storage,capacity,pct_capacity,date,state
"Adobe Creek",58550,62000,94.4,01/2000,CO
"Adobe Creek",66009,62000,106.5,02/2000,CO
"Adobe Creek",69908,62000,112.8,03/2000,CO
"Adobe Creek",70065,62000,113,04/2000,CO
"Adobe Creek",69240,62000,111.7,05/2000,CO
"Adobe Creek",66487,62000,107.2,06/2000,CO
"Adobe Creek",56652,62000,91.4,07/2000,CO
"Adobe Creek",42888,62000,69.2,08/2000,CO
"Adobe Creek",32602,62000,52.6,09/2000,CO
"Adobe Creek",23196,62000,37.4,10/2000,CO
"Adobe Creek",20455,62000,33,11/2000,CO
"Adobe Creek",28067,62000,45.3,12/2000,CO
"Adobe Creek",38913,62000,62.8,01/2001,CO
"Adobe Creek",51374,62000,82.9,02/2001,CO
"Adobe Creek",59127,62000,95.4,03/2001,CO
"Adobe Creek",66236,62000,106.8,04/2001,CO
"Adobe Creek",62180,62000,100.3,05/2001,CO
"Adobe Creek",58577,62000,94.5,06/2001,CO
"Adobe Creek",52185,62000,84.2,07/2001,CO
"Adobe Creek",32902,62000,53.1,08/2001,CO
"Adobe Creek",18405,62000,29.7,09/2001,CO
"Adobe Creek",0,62000,0,10/2001,CO
"Adobe Creek",2784,62000,4.5,11/2001,CO
"Adobe Creek",9258,62000,14.9,12/2001,CO
"Adobe Creek",22671,62000,36.6,01/2002,CO
"Adobe Creek",26082,62000,42.1,02/2002,CO
"Adobe Creek",27240,62000,43.9,03/2002,CO
"Adobe Creek",31366,62000,50.6,04/2002,CO
"Adobe Creek",22302,62000,36,05/2002,CO
"Adobe Creek",11344,62000,18.3,06/2002,CO
"Adobe Creek",0,62000,0,07/2002,CO
"Adobe Creek",0,62000,0,08/2002,CO
"Adobe Creek",0,62000,0,09/2002,CO
"Adobe Creek",0,62000,0,10/2002,CO
"Adobe Creek",0,62000,0,11/2005,CO
"Adobe Creek",0,62000,0,12/2005,CO
"Adobe Creek",12374,62000,20,01/2006,CO
"Adobe Creek",21620,62000,34.9,02/2006,CO
"Adobe Creek",25517,62000,41.2,03/2006,CO
"Adobe Creek",27347,62000,44.1,04/2006,CO
"Adobe Creek",12125,62000,19.6,05/2006,CO
"Adobe Creek",5215,62000,8.4,06/2006,CO
"Adobe Creek",3938,62000,6.4,07/2006,CO
"Adobe Creek",0,62000,0,08/2006,CO
"Adobe Creek",0,62000,0,09/2006,CO
"Adobe Creek",0,62000,0,10/2006,CO
"Adobe Creek",5349,62000,8.6,11/2006,CO
"Adobe Creek",10000,62000,16.1,12/2006,CO
"Adobe Creek",16453,62000,26.5,01/2007,CO
"Adobe Creek",28655,62000,46.2,02/2007,CO
"Adobe Creek",35744,62000,57.7,03/2007,CO
"Adobe Creek",49998,62000,80.6,04/2007,CO
"Adobe Creek",48757,62000,78.6,05/2007,CO
"Adobe Creek",52898,62000,85.3,06/2007,CO
"Adobe Creek",65672,62000,105.9,07/2007,CO
"Adobe Creek",51351,62000,82.8,08/2007,CO
"Adobe Creek",37326,62000,60.2,09/2007,CO
"Adobe Creek",19012,62000,30.7,10/2007,CO
"Adobe Creek",10687,62000,17.2,11/2007,CO
"Adobe Creek",17366,62000,28,12/2007,CO
"Adobe Creek",30795,62000,49.7,01/2008,CO
"Adobe Creek",43884,62000,70.8,02/2008,CO
"Adobe Creek",50926,62000,82.1,03/2008,CO
"Adobe Creek",57605,62000,92.9,04/2008,CO
"Adobe Creek",45435,62000,73.3,05/2008,CO
"Adobe Creek",27036,62000,43.6,06/2008,CO
"Adobe Creek",24955,62000,40.3,07/2008,CO
"Adobe Creek",19646,62000,31.7,08/2008,CO
"Adobe Creek",11910,62000,19.2,09/2008,CO
"Adobe Creek",8447,62000,13.6,10/2008,CO
"Adobe Creek",7633,62000,12.3,11/2008,CO
"Adobe Creek",14926,62000,24.1,12/2008,CO
"Adobe Creek",31765,62000,51.2,01/2009,CO
"Adobe Creek",43262,62000,69.8,02/2009,CO
"Adobe Creek",47037,62000,75.9,03/2009,CO
"Adobe Creek",44774,62000,72.2,04/2009,CO
"Adobe Creek",39438,62000,63.6,05/2009,CO
"Adobe Creek",30644,62000,49.4,06/2009,CO
"Adobe Creek",37290,62000,60.1,07/2009,CO
"Adobe Creek",27947,62000,45.1,08/2009,CO
"Adobe Creek",17951,62000,29,09/2009,CO
"Adobe Creek",10328,62000,16.7,10/2009,CO
"Adobe Creek",8551,62000,13.8,11/2009,CO
"Adobe Creek",17299,62000,27.9,12/2009,CO
"Adobe Creek",33097,62000,53.4,01/2010,CO
"Adobe Creek",47465,62000,76.6,02/2010,CO
"Adobe Creek",53354,62000,86.1,03/2010,CO
"Adobe Creek",54054,62000,87.2,04/2010,CO
"Adobe Creek",55304,62000,89.2,05/2010,CO
"Adobe Creek",53373,62000,86.1,06/2010,CO
"Adobe Creek",49564,62000,79.9,07/2010,CO
"Adobe Creek",33984,62000,54.8,08/2010,CO
"Adobe Creek",22532,62000,36.3,09/2010,CO
"Adobe Creek",10842,62000,17.5,10/2010,CO
"Adobe Creek",8879,62000,14.3,11/2010,CO
"Adobe Creek",14438,62000,23.3,12/2010,CO
"Adobe Creek",27886,62000,45,01/2011,CO
"Adobe Creek",38501,62000,62.1,02/2011,CO
"Adobe Creek",41507,62000,66.9,03/2011,CO
"Adobe Creek",40643,62000,65.6,04/2011,CO
"Adobe Creek",31553,62000,50.9,05/2011,CO
"Adobe Creek",23387,62000,37.7,06/2011,CO
"Adobe Creek",22492,62000,36.3,07/2011,CO
"Adobe Creek",19435,62000,31.3,08/2011,CO
"Adobe Creek",11074,62000,17.9,09/2011,CO
"Adobe Creek",9255,62000,14.9,10/2011,CO
"Adobe Creek",8684,62000,14,11/2011,CO
"Adobe Creek",15144,62000,24.4,12/2011,CO
"Adobe Creek",30868,62000,49.8,01/2012,CO
"Adobe Creek",34598,62000,55.8,02/2012,CO
"Adobe Creek",36889,62000,59.5,03/2012,CO
"Adobe Creek",39729,62000,64.1,04/2012,CO
"Adobe Creek",33472,62000,54,05/2012,CO
"Adobe Creek",22060,62000,35.6,06/2012,CO
"Adobe Creek",11327,62000,18.3,07/2012,CO
"Adobe Creek",9717,62000,15.7,08/2012,CO
"Adobe Creek",8622,62000,13.9,09/2012,CO
"Adobe Creek",7837,62000,12.6,10/2012,CO
"Adobe Creek",8000,62000,12.9,11/2012,CO
"Adobe Creek",7600,62000,12.3,12/2012,CO
"Adobe Creek",6800,62000,11,01/2013,CO
"Adobe Creek",6800,62000,11,02/2013,CO
"Adobe Creek",6800,62000,11,03/2013,CO
"Adobe Creek",6800,62000,11,04/2013,CO
"Adobe Creek",6800,62000,11,05/2013,CO
"Adobe Creek",6200,62000,10,06/2013,CO
"Adobe Creek",6200,62000,10,07/2013,CO
"Adobe Creek",6200,62000,10,08/2013,CO
"Adobe Creek",4500,62000,7.3,09/2013,CO
"Adobe Creek",4400,62000,7.1,10/2013,CO
"Adobe Creek",4400,62000,7.1,11/2013,CO
"Adobe Creek",11600,62000,18.7,12/2013,CO
"Adobe Creek",21300,62000,34.4,01/2014,CO
"Adobe Creek",21100,62000,34,02/2014,CO
"Adobe Creek",20900,62000,33.7,03/2014,CO
"Adobe Creek",20400,62000,32.9,04/2014,CO
"Adobe Creek",19400,62000,31.3,05/2014,CO
"Adobe Creek",15500,62000,25,06/2014,CO
"Adobe Creek",13900,62000,22.4,07/2014,CO
"Adobe Creek",13600,62000,21.9,08/2014,CO
"Adobe Creek",9000,62000,14.5,09/2014,CO
"Adobe Creek",6900,62000,11.1,10/2014,CO
"Adobe Creek",6900,62000,11.1,11/2014,CO
"Adobe Creek",7900,62000,12.7,12/2014,CO
"Adobe Creek",19300,62000,31.1,01/2015,CO
"Adobe Creek",35100,62000,56.6,02/2015,CO
"Adobe Creek",35800,62000,57.7,03/2015,CO
"Adobe Creek",34800,62000,56.1,04/2015,CO
"Adobe Creek",33600,62000,54.2,05/2015,CO
"Adobe Creek",60500,62000,97.6,06/2015,CO
"Adobe Creek",76062,62000,122.7,07/2015,CO
"Adobe Creek",70900,62000,114.4,08/2015,CO
"Adobe Creek",62700,62000,101.1,09/2015,CO
"Adobe Creek",47400,62000,76.5,10/2015,CO
"Adobe Creek",39000,62000,62.9,11/2015,CO
"Adobe Creek",48300,62000,77.9,12/2015,CO
"Adobe Creek",60700,62000,97.9,01/2016,CO
"Adobe Creek",66600,62000,107.4,02/2016,CO
"Adobe Creek",73600,62000,118.7,03/2016,CO
"Adobe Creek",70100,62000,113.1,04/2016,CO
"Adobe Creek",66500,62000,107.3,05/2016,CO
"Adobe Creek",69900,62000,112.7,06/2016,CO
"Adobe Creek",75800,62000,122.3,07/2016,CO
"Adobe Creek",61600,62000,99.4,08/2016,CO
"Adobe Creek",43800,62000,70.6,09/2016,CO
"Adobe Creek",35100,62000,56.6,10/2016,CO
"Adobe Creek",28600,62000,46.1,11/2016,CO
